step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,episode/real_actions_Qp_max,episode/real_actions_Qp_mean,episode/real_actions_Qp_min,episode/real_actions_Qp_std,episode/real_actions_R_max,episode/real_actions_R_mean,episode/real_actions_R_min,episode/real_actions_R_std,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check
267264,412.66387939453125,-0.5735126733779907,1.0189708471298218,0.3575017750263214,0.6570068597793579,0.6053066253662109,0.9849043488502502,0.9202508330345154,0.6382540464401245,4.286234378814697,58.95566940307617,0.027946162968873978,-4.579276084899902,101.0,52.459720611572266,0.4484710991382599,9216.0,8.0,2.4627785682678223,0.0,2.664954900741577,14.0,8.744721412658691,6.0,2.687511920928955,-2.7218074798583984,1.188033103942871,-0.0020088953897356987,1.0664786100387573,,,
276480,246.1745147705078,-0.40691375732421875,0.9841942191123962,0.8049404621124268,0.8595442175865173,0.644386887550354,1.0482553243637085,0.9336398839950562,0.6466050744056702,4.28930139541626,57.86854553222656,0.02936980500817299,-4.607585906982422,111.0,56.8812141418457,0.4690057337284088,9216.0,8.0,2.5057873725891113,0.0,2.6954171657562256,14.0,8.71610164642334,6.0,2.6866512298583984,-2.7198736667633057,0.27432841062545776,-0.001392918173223734,0.6516362428665161,,,
285696,311.61578369140625,-0.6528427600860596,1.0651742219924927,0.8770793676376343,0.8585407137870789,0.5769410133361816,1.0239548683166504,0.9293745756149292,0.6500951051712036,4.32391357421875,50.72303771972656,0.024483555927872658,-4.609253406524658,106.0,67.01342010498047,0.46206939220428467,9216.0,,,,,,,,,-2.71646785736084,0.46339908242225647,-0.0019710713531821966,0.9720568656921387,,,
294912,398.35858154296875,-0.5270943641662598,1.0406559705734253,0.5335649251937866,0.8218982219696045,0.5675498247146606,0.9250735640525818,0.920470654964447,0.642598032951355,4.3316569328308105,60.636714935302734,0.030577952042222023,-4.5262227058410645,109.0,60.15818405151367,0.4691208004951477,9216.0,8.0,2.51763916015625,0.0,2.6988816261291504,14.0,8.681407928466797,6.0,2.676283836364746,-2.711219310760498,1.1503236293792725,-0.002517261542379856,1.272402048110962,,,
299952,51.41040802001953,-0.21506159007549286,1.0394842624664307,0.748138427734375,1.034733533859253,0.645611047744751,,,,,,,,,,,,,,,,,,,,-2.705691337585449,1.1127339601516724,-0.0038957572542130947,0.9955137372016907,198.25,-89.3498764038086,-87.76873779296875
304128,77.083251953125,-0.28228816390037537,1.0173394680023193,1.0488955974578857,0.883655309677124,0.5723209381103516,0.977366030216217,0.9292464256286621,0.6483618021011353,4.3443827629089355,63.48271179199219,0.03049340471625328,-4.632078170776367,105.0,53.39860153198242,0.4635540843009949,9216.0,8.0,2.5590081214904785,0.0,2.726748466491699,14.0,8.646512031555176,6.0,2.672088861465454,,,,,,,
313344,57.71220016479492,-0.5616796612739563,1.0840811729431152,0.5433349013328552,0.8372810482978821,0.611203134059906,0.9505980610847473,0.9179471135139465,0.6462907195091248,4.364709854125977,65.07266998291016,0.03413059934973717,-4.626315593719482,112.0,56.982261657714844,0.47925934195518494,9216.0,8.0,2.591118335723877,0.0,2.747926712036133,14.0,8.604626655578613,6.0,2.6590893268585205,-2.6990182399749756,0.04621216282248497,-0.0021780449897050858,0.8123407959938049,,,
322560,21.523008346557617,-0.2932606041431427,0.8649886846542358,1.5282855033874512,0.9199592471122742,0.7229956388473511,0.9782344102859497,0.9135599732398987,0.6406775712966919,4.369430065155029,66.51074981689453,0.033406149595975876,-4.552244186401367,106.0,48.25454330444336,0.468115895986557,9216.0,,,,,,,,,-2.6916840076446533,0.9044798016548157,-0.0018758598016574979,0.8136408925056458,,,
331776,61.05526351928711,-0.8393428921699524,1.059645414352417,0.8082245588302612,0.8444945812225342,0.6887171864509583,0.9514852166175842,0.9077842831611633,0.6440210938453674,4.389465808868408,67.59455871582031,0.032848503440618515,-4.6235671043396,105.0,48.99626159667969,0.46698251366615295,9216.0,8.0,2.5845391750335693,0.0,2.7563281059265137,14.0,8.5772705078125,6.0,2.65443754196167,-2.68469500541687,0.5258815288543701,-0.002516356995329261,0.7223774194717407,,,
340992,28.117536544799805,-0.23729218542575836,1.0949537754058838,0.5626891851425171,0.9438894391059875,0.6373977065086365,1.0405869483947754,0.9279086589813232,0.6482426524162292,4.405910968780518,58.98892593383789,0.029902970418334007,-4.608372688293457,110.0,59.045040130615234,0.48020797967910767,9216.0,8.0,2.5999433994293213,0.0,2.7643985748291016,14.0,8.533907890319824,6.0,2.6351020336151123,-2.678117275238037,0.5694462060928345,-0.003180871484801173,0.7187164425849915,,,
