step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,episode/real_actions_Qp_max,episode/real_actions_Qp_mean,episode/real_actions_Qp_min,episode/real_actions_Qp_std,episode/real_actions_R_max,episode/real_actions_R_mean,episode/real_actions_R_min,episode/real_actions_R_std,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/value_loss,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check,actions/dim_0_autocorrelation,actions/dim_0_dynamic_range,actions/dim_10_autocorrelation,actions/dim_10_dynamic_range,actions/dim_11_autocorrelation,actions/dim_11_dynamic_range,actions/dim_1_autocorrelation,actions/dim_1_dynamic_range,actions/dim_2_autocorrelation,actions/dim_2_dynamic_range,actions/dim_3_autocorrelation,actions/dim_3_dynamic_range,actions/dim_4_autocorrelation,actions/dim_4_dynamic_range,actions/dim_5_autocorrelation,actions/dim_5_dynamic_range,actions/dim_6_autocorrelation,actions/dim_6_dynamic_range,actions/dim_7_autocorrelation,actions/dim_7_dynamic_range,actions/dim_8_autocorrelation,actions/dim_8_dynamic_range,actions/dim_9_autocorrelation,actions/dim_9_dynamic_range,actions/entropy,actions/stability
248832,329.8320923,-0.463395447,0.992696404,0.457247585,0.804603755,0.667596638,1.004082918,0.895167232,0.645478129,4.249855042,50.37042999,0.024658535,-4.554929733,107,71.06924438,0.458399504,9216,85.88999939,49.65431213,46,8,2.424341917,0,2.651417971,14,8.874358177,6,2.720449924,0.003113417,0.017332176,0.200000003,-2.727559328,0.468135715,4.76E-05,0.541206658,-0.002366042,0.945634723,0.841584086,,,,1,6.803744316,-1,6.770279408,1,6.950611591,-1,6.943531036,1,6.412849426,1,7.762604237,1,7.233509064,-1,6.708799839,-1,6.933890343,1,7.116792679,1,6.80755043,-1,7.233530045,0,1.081058621
249960,333.5577698,-0.507772088,1.082500696,1.799767852,0.980011463,0.754405618,,,,,,,,,,,,,,,,,,,,,,,0.003139936,0.017578125,0.200000003,-2.724720478,0.368074775,4.75E-05,0.20483534,-0.001295837,0.944298387,1.184657335,195.1666718,-87.76873779,-125.9055252,,,,,,,,,,,,,,,,,,,,,,,,,,
258048,53.90233612,-0.378660589,1.03168571,0.740003884,1.0402596,0.706217885,1.041089535,0.899130881,0.647800326,4.271127224,52.60341644,0.025842814,-4.555830479,107,71.03446198,0.460340768,9216,86.18000031,51.15044785,46,8,2.440859795,0,2.656947613,14,8.82239151,6,2.705145836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267264,412.6638794,-0.573512673,1.018970847,0.357501775,0.65700686,0.605306625,0.984904349,0.920250833,0.638254046,4.286234379,58.9556694,0.027946163,-4.579276085,101,52.45972061,0.448471099,9216,90.56999969,59.18527985,46,8,2.462778568,0,2.664954901,14,8.744721413,6,2.687511921,0.003052235,0.01192853,0.200000003,-2.72180748,0.567156911,4.74E-05,1.188033104,-0.002008895,0.943044841,1.06647861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276480,246.1745148,-0.406913757,0.984194219,0.804940462,0.859544218,0.644386888,1.048255324,0.933639884,0.646605074,4.289301395,57.86854553,0.029369805,-4.607585907,111,56.88121414,0.469005734,9216,84,54.66872025,46,8,2.505787373,0,2.695417166,14,8.716101646,6,2.68665123,0.003021702,0.017838541,0.200000003,-2.719873667,0.558760285,4.73E-05,0.274328411,-0.001392918,0.942131519,0.651636243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285696,311.6157837,-0.65284276,1.065174222,0.877079368,0.858540714,0.576941013,1.023954868,0.929374576,0.650095105,4.323913574,50.72303772,0.024483556,-4.609253407,106,67.0134201,0.462069392,9216,85.08999634,48.29856873,46,,,,,,,,,0.0036555,0.025788484,0.200000003,-2.716467857,0.402350187,4.72E-05,0.463399082,-0.001971071,0.94009304,0.972056866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294912,398.3585815,-0.527094364,1.040655971,0.533564925,0.821898222,0.567549825,0.925073564,0.920470655,0.642598033,4.331656933,60.63671494,0.030577952,-4.526222706,109,60.15818405,0.4691208,9216,85.55999756,59.32727814,46,8,2.51763916,0,2.698881626,14,8.681407928,6,2.676283836,0.005510342,0.048676215,0.200000003,-2.711219311,0.385728836,4.71E-05,1.150323629,-0.002517262,0.937269449,1.272402048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299952,51.41040802,-0.21506159,1.039484262,0.748138428,1.034733534,0.645611048,,,,,,,,,,,,,,,,,,,,,,,0.004740624,0.057335071,0.200000003,-2.705691338,0.458660066,4.71E-05,1.11273396,-0.003895757,0.934990048,0.995513737,198.25,-89.3498764,-87.76873779,,,,,,,,,,,,,,,,,,,,,,,,,,
304128,77.08325195,-0.282288164,1.017339468,1.048895597,0.88365531,0.572320938,0.97736603,0.929246426,0.648361802,4.344382763,63.48271179,0.030493405,-4.632078171,105,53.39860153,0.463554084,9216,85.65000153,62.55637741,46,8,2.559008121,0,2.726748466,14,8.646512032,6,2.672088861,,,,,,,,,,,,,,1,6.953821182,1,7.608106613,1,7.108370781,-1,6.907894135,1,7.276995659,1,7.396103859,1,7.85952282,1,7.704469204,1,7.067829132,1,6.591832161,-1,8.459280014,1,7.354651451,0,1.06714952
313344,57.71220016,-0.561679661,1.084081173,0.543334901,0.837281048,0.611203134,0.950598061,0.917947114,0.64629072,4.364709854,65.07266998,0.034130599,-4.626315594,112,56.98226166,0.479259342,9216,85.16000366,67.14899445,46,8,2.591118336,0,2.747926712,14,8.604626656,6,2.659089327,0.003881952,0.027727142,0.200000003,-2.69901824,0.551134229,4.70E-05,0.046212163,-0.002178045,0.930878401,0.812340796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322560,21.52300835,-0.293260604,0.864988685,1.528285503,0.919959247,0.722995639,0.97823441,0.913559973,0.640677571,4.369430065,66.51074982,0.03340615,-4.552244186,106,48.2545433,0.468115896,9216,87.19999695,68.05645752,46,,,,,,,,,0.003350805,0.021535011,0.200000003,-2.691684008,0.524374485,4.69E-05,0.904479802,-0.00187586,0.928158283,0.813640893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331776,61.05526352,-0.839342892,1.059645414,0.808224559,0.844494581,0.688717186,0.951485217,0.907784283,0.644021094,4.389465809,67.59455872,0.032848503,-4.623567104,105,48.9962616,0.466982514,9216,85.76999664,66.56387329,46,8,2.584539175,0,2.756328106,14,8.577270508,6,2.654437542,0.004390543,0.022453703,0.200000003,-2.684695005,0.543850064,4.68E-05,0.525881529,-0.002516357,0.92434746,0.722377419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340992,28.11753654,-0.237292185,1.094953775,0.562689185,0.943889439,0.637397707,1.040586948,0.927908659,0.648242652,4.405910969,58.98892593,0.02990297,-4.608372688,110,59.04504013,0.48020798,9216,85.01000214,61.82830811,47,8,2.599943399,0,2.764398575,14,8.53390789,6,2.635102034,0.003933801,0.039373554,0.200000003,-2.678117275,0.516780496,4.67E-05,0.569446206,-0.003180871,0.922313094,0.718716443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349944,316.7241821,-0.593171775,1.000068784,0.474007636,0.843205094,0.680833638,,,,,,,,,,,,,,,8,2.594683647,0,2.763133764,14,8.477632523,6,2.622651339,0.004382767,0.031372976,0.200000003,-2.673137665,0.56410265,4.66E-05,0.275687873,-0.002597413,0.919626117,0.793079019,192.9166718,-127.6963043,-89.3498764,,,,,,,,,,,,,,,,,,,,,,,,,,
