step,episode/action_changes,episode/actions_mean,episode/actions_std,episode_perf/constraint_index,episode_perf/energy_index,episode_perf/time_index,eval/episode_perf/constraint_index,eval/episode_perf/energy_index,eval/episode_perf/time_index,eval/max_reward_step_by_step,eval/mean_episode_reward,eval/mean_reward_step_by_step,eval/min_reward_step_by_step,eval/num_episodes_completed,eval/std_episode_reward,eval/std_reward_step_by_step,eval/total_reward_steps,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,episode/real_actions_Th_max,episode/real_actions_Th_mean,episode/real_actions_Th_min,episode/real_actions_Th_std,episode/real_actions_dt_max,episode/real_actions_dt_mean,episode/real_actions_dt_min,episode/real_actions_dt_std,eval/mean_ep_length,eval/mean_reward,eval/mean_reward_parent_check
229376,486.64971923828125,0.25134217739105225,0.8962439298629761,0.18515051901340485,1.1633565425872803,0.4157339632511139,0.6865518093109131,1.289738655090332,0.47378620505332947,0.5419780015945435,-593.9724731445312,-0.02164999209344387,-0.2103491872549057,54.0,168.60137939453125,0.047689780592918396,8192.0,-2.2896134853363037,0.014893666841089725,0.002071772003546357,0.05625917389988899,30.0,16.91352653503418,4.0,9.296507835388184,4.0,2.6282031536102295,0.5999999046325684,1.101866364479065,,,
237568,137.4785614013672,0.325411319732666,0.9334635138511658,0.4262007772922516,1.324548602104187,0.40524008870124817,0.7205667495727539,1.3741135597229004,0.483081579208374,0.5434380769729614,-640.2274169921875,-0.022425109520554543,-0.20889970660209656,56.0,209.0922393798828,0.0491720475256443,8192.0,-2.2803902626037598,-0.023986825719475746,-0.018077082931995392,0.03696456551551819,,,,,,,,,,,
245760,265.8300476074219,-0.008587274700403214,0.9030541181564331,0.41095319390296936,1.3096036911010742,0.4318915903568268,0.671363115310669,1.309592843055725,0.4709797203540802,0.544537365436554,-596.376220703125,-0.022215023636817932,-2.8925695419311523,55.0,202.8767852783203,0.05762292444705963,8192.0,-2.2647972106933594,-0.007626616396009922,-0.010327006690204144,0.03253087028861046,,,,,,,,,,,
250000,55.18092346191406,-0.03839968517422676,0.8141791820526123,1.335395097732544,1.9580954313278198,0.7742724418640137,,,,,,,,,,,,-2.2465624809265137,-0.012704741209745407,-0.007922368124127388,0.05477677285671234,,,,,,,,,172.875,-596.2867431640625,-497.24591064453125
253952,166.8557891845703,0.22408850491046906,0.9529865384101868,0.4482569098472595,1.0584251880645752,0.4060864746570587,0.7312787771224976,1.3935983180999756,0.5107035040855408,0.5426385402679443,-666.993408203125,-0.022544536739587784,-0.17888867855072021,49.0,310.8164978027344,0.045642271637916565,8192.0,,,,,,,,,,,,,,,
262144,85.09705352783203,0.20471727848052979,0.8051375150680542,0.4737597703933716,1.0228471755981445,0.5087869763374329,0.7100430130958557,1.360880732536316,0.5073797702789307,0.5431460738182068,-639.6273803710938,-0.022093838080763817,-0.16033487021923065,51.0,208.02670288085938,0.0469319149851799,8192.0,-2.2300174236297607,-0.006246773526072502,-0.004097876138985157,0.03938920050859451,30.0,17.03504180908203,4.0,9.327967643737793,4.0,2.643481731414795,0.5999999046325684,1.0925911664962769,,,
270336,830.905517578125,0.23372882604599,1.0354814529418945,0.7314710021018982,1.3522799015045166,0.6090481281280518,0.7089104652404785,1.3130812644958496,0.49774959683418274,0.5470501184463501,-614.907470703125,-0.021750204265117645,-0.5238748788833618,52.0,186.05706787109375,0.04771041125059128,8192.0,-2.214148759841919,-0.002018718048930168,-0.007567797787487507,0.03377627581357956,,,,,,,,,,,
278528,330.8108215332031,0.0286111943423748,0.9677547216415405,0.44769227504730225,1.2932260036468506,0.5465287566184998,0.7098793387413025,1.3909212350845337,0.4928779602050781,0.5470723509788513,-640.8379516601562,-0.021792227402329445,-0.15989790856838226,53.0,191.77255249023438,0.04797779396176338,8192.0,-2.2042112350463867,0.0068527632392942905,0.002718503586947918,0.03188009560108185,,,,,,,,,,,
286720,177.3050537109375,-0.13992056250572205,0.9656174778938293,1.3345451354980469,1.7179869413375854,0.5941684246063232,0.7291224002838135,1.3175827264785767,0.475859671831131,0.5469006299972534,-616.1858520507812,-0.022220386192202568,-0.15596722066402435,54.0,196.8272247314453,0.048171624541282654,8192.0,-2.1967413425445557,0.007139744237065315,-0.0011047259904444218,0.03512285649776459,,,,,,,,,,,
294912,538.6275634765625,-0.17167924344539642,0.9531372785568237,0.6507347822189331,1.2904019355773926,0.5048568248748779,0.7790379524230957,1.3970187902450562,0.45604684948921204,0.5489533543586731,-668.4989013671875,-0.02196674235165119,-0.1714523881673813,49.0,267.50140380859375,0.04609024152159691,8192.0,-2.1892709732055664,0.037821076810359955,0.004389520734548569,0.03575233370065689,30.0,16.75503158569336,4.0,9.489706993103027,4.0,2.5968680381774902,0.5999999046325684,1.1047691106796265,,,
300000,627.1136474609375,-0.10803844779729843,0.9907806515693665,1.0222259759902954,1.794649600982666,0.5839810371398926,,,,,,,,,,,,-2.1824615001678467,0.017217494547367096,0.0012711149174720049,0.0398896150290966,,,,,,,,,164.375,-521.6345825195312,-596.2867431640625
303104,74.22760009765625,0.18198040127754211,1.006189227104187,0.7029998898506165,1.1722347736358643,0.5861536264419556,0.6916167736053467,1.3040024042129517,0.4936763048171997,0.5505926012992859,-607.8640747070312,-0.020679665729403496,-0.15997163951396942,53.0,170.04205322265625,0.04793345555663109,8192.0,,,,,,,,,,,,,,,
311296,65.95060729980469,0.23605704307556152,0.8978340029716492,0.9254941940307617,1.5980768203735352,0.43038347363471985,0.6186270713806152,1.3014339208602905,0.4499727487564087,0.549832820892334,-561.2119750976562,-0.020729145035147667,-0.6972275376319885,52.0,190.5043487548828,0.04796294867992401,8192.0,-2.1702706813812256,2.3550353944301605e-05,-0.00827562902122736,0.029271960258483887,,,,,,,,,,,
